name,prediction,conf
model_antiviral3_2830,0.89706284,model_antiviral3_2830_complex.15
model_antiviral3_2279,0.89702016,model_antiviral3_2279_complex.20
model_antiviral3_4388,0.89693654,model_antiviral3_4388_complex.14
model_antiviral3_3698,0.89611953,model_antiviral3_3698_complex.10
model_antiviral3_1985,0.8960821,model_antiviral3_1985_complex.5
model_antiviral3_276,0.89591545,model_antiviral3_276_complex.17
model_antiviral3_3480,0.8954288,model_antiviral3_3480_complex.5
model_antiviral3_1612,0.89508617,model_antiviral3_1612_complex.4
model_antiviral3_1605,0.8950665999999999,model_antiviral3_1605_complex.2
model_antiviral3_3252,0.8947424999999999,model_antiviral3_3252_complex.7
model_antiviral3_1661,0.8946964,model_antiviral3_1661_complex.18
model_antiviral3_1917,0.8943815,model_antiviral3_1917_complex.1
model_antiviral3_1087,0.8942278,model_antiviral3_1087_complex.2
model_antiviral3_4083,0.89395076,model_antiviral3_4083_complex.5
model_antiviral3_3829,0.8936142,model_antiviral3_3829_complex.7
model_antiviral3_4019,0.89361036,model_antiviral3_4019_complex.17
model_antiviral3_2253,0.89312077,model_antiviral3_2253_complex.14
model_antiviral3_3958,0.8929540000000001,model_antiviral3_3958_complex.4
model_antiviral3_1568,0.89272153,model_antiviral3_1568_complex.16
model_antiviral3_1232,0.8926915999999999,model_antiviral3_1232_complex.19
model_antiviral3_3911,0.892509,model_antiviral3_3911_complex.3
model_antiviral3_3341,0.8925050999999999,model_antiviral3_3341_complex.3
model_antiviral3_2611,0.89195114,model_antiviral3_2611_complex.3
model_antiviral3_2955,0.89177585,model_antiviral3_2955_complex.20
model_antiviral3_1841,0.89173687,model_antiviral3_1841_complex.4
model_antiviral3_2224,0.8916219999999999,model_antiviral3_2224_complex.3
model_antiviral3_827,0.89113635,model_antiviral3_827_complex.20
model_antiviral3_1640,0.8911319999999999,model_antiviral3_1640_complex.6
model_antiviral3_1428,0.8910388000000001,model_antiviral3_1428_complex.18
model_antiviral3_4048,0.8909556000000001,model_antiviral3_4048_complex.7
model_antiviral3_1015,0.8909054,model_antiviral3_1015_complex.12
model_antiviral3_204,0.89085644,model_antiviral3_204_complex.3
model_antiviral3_535,0.8907695,model_antiviral3_535_complex.3
model_antiviral3_417,0.8905568000000001,model_antiviral3_417_complex.3
model_antiviral3_1851,0.8901979,model_antiviral3_1851_complex.11
model_antiviral3_2000,0.88990474,model_antiviral3_2000_complex.18
model_antiviral3_1509,0.88976175,model_antiviral3_1509_complex.18
model_antiviral3_612,0.88969624,model_antiviral3_612_complex.17
model_antiviral3_2855,0.88948005,model_antiviral3_2855_complex.5
model_antiviral3_713,0.8892709000000001,model_antiviral3_713_complex.9
model_antiviral3_3888,0.8891464,model_antiviral3_3888_complex.20
model_antiviral3_2631,0.889051,model_antiviral3_2631_complex.9
model_antiviral3_3491,0.8889587,model_antiviral3_3491_complex.15
model_antiviral3_2045,0.8888418,model_antiviral3_2045_complex.18
model_antiviral3_3618,0.8888353000000001,model_antiviral3_3618_complex.13
model_antiviral3_3805,0.88878113,model_antiviral3_3805_complex.4
model_antiviral3_2962,0.88871306,model_antiviral3_2962_complex.19
model_antiviral3_1365,0.8885772,model_antiviral3_1365_complex.5
model_antiviral3_4300,0.88852274,model_antiviral3_4300_complex.19
model_antiviral3_2258,0.88852197,model_antiviral3_2258_complex.4
model_antiviral3_2485,0.8882576999999999,model_antiviral3_2485_complex.9
model_antiviral3_4208,0.8880534999999999,model_antiviral3_4208_complex.16
model_antiviral3_4021,0.88799566,model_antiviral3_4021_complex.4
model_antiviral3_3505,0.8879388,model_antiviral3_3505_complex.12
model_antiviral3_4454,0.8878533000000002,model_antiviral3_4454_complex.15
model_antiviral3_4132,0.8876363000000002,model_antiviral3_4132_complex.11
model_antiviral3_2873,0.8875878,model_antiviral3_2873_complex.19
model_antiviral3_287,0.88758373,model_antiviral3_287_complex.6
model_antiviral3_3567,0.887525,model_antiviral3_3567_complex.15
model_antiviral3_1847,0.8874690000000001,model_antiviral3_1847_complex.9
model_antiviral3_1837,0.88744986,model_antiviral3_1837_complex.7
model_antiviral3_1291,0.8874496,model_antiviral3_1291_complex.12
model_antiviral3_2717,0.8872314,model_antiviral3_2717_complex.16
model_antiviral3_4095,0.88716084,model_antiviral3_4095_complex.7
model_antiviral3_3357,0.8870648000000001,model_antiviral3_3357_complex.9
model_antiviral3_4045,0.8870599,model_antiviral3_4045_complex.11
model_antiviral3_2948,0.88646674,model_antiviral3_2948_complex.19
model_antiviral3_1694,0.88640255,model_antiviral3_1694_complex.19
model_antiviral3_3889,0.88639265,model_antiviral3_3889_complex.4
model_antiviral3_3561,0.88626903,model_antiviral3_3561_complex.4
model_antiviral3_2903,0.88605565,model_antiviral3_2903_complex.19
model_antiviral3_1960,0.88580054,model_antiviral3_1960_complex.15
model_antiviral3_2364,0.8857187,model_antiviral3_2364_complex.13
model_antiviral3_4138,0.8853151,model_antiviral3_4138_complex.15
model_antiviral3_1436,0.8852485999999999,model_antiviral3_1436_complex.10
model_antiviral3_3938,0.8849398,model_antiviral3_3938_complex.4
model_antiviral3_2985,0.88488764,model_antiviral3_2985_complex.9
model_antiviral3_532,0.8848176,model_antiviral3_532_complex.15
model_antiviral3_2604,0.8846554,model_antiviral3_2604_complex.9
model_antiviral3_4394,0.8846216999999998,model_antiviral3_4394_complex.19
model_antiviral3_1398,0.8844285,model_antiviral3_1398_complex.14
model_antiviral3_941,0.8843875,model_antiviral3_941_complex.1
model_antiviral3_4088,0.88406295,model_antiviral3_4088_complex.19
model_antiviral3_3545,0.88394666,model_antiviral3_3545_complex.9
model_antiviral3_2306,0.8836573,model_antiviral3_2306_complex.9
model_antiviral3_2292,0.88365465,model_antiviral3_2292_complex.10
model_antiviral3_2662,0.8836530999999999,model_antiviral3_2662_complex.3
model_antiviral3_2359,0.8834076999999999,model_antiviral3_2359_complex.15
model_antiviral3_2356,0.88324845,model_antiviral3_2356_complex.8
model_antiviral3_2506,0.8831585999999999,model_antiviral3_2506_complex.14
model_antiviral3_591,0.8829872,model_antiviral3_591_complex.20
model_antiviral3_1129,0.88285434,model_antiviral3_1129_complex.19
model_antiviral3_622,0.88276166,model_antiviral3_622_complex.14
model_antiviral3_864,0.8826703000000001,model_antiviral3_864_complex.15
model_antiviral3_772,0.8826414,model_antiviral3_772_complex.1
model_antiviral3_2911,0.8823829,model_antiviral3_2911_complex.4
model_antiviral3_1171,0.8821551,model_antiviral3_1171_complex.19
model_antiviral3_3726,0.88208854,model_antiviral3_3726_complex.17
model_antiviral3_137,0.88195133,model_antiviral3_137_complex.1
model_antiviral3_4098,0.88178086,model_antiviral3_4098_complex.11
model_antiviral3_901,0.88162684,model_antiviral3_901_complex.4
model_antiviral3_2691,0.88158137,model_antiviral3_2691_complex.10
model_antiviral3_1550,0.88156104,model_antiviral3_1550_complex.3
model_antiviral3_2790,0.8813636,model_antiviral3_2790_complex.13
model_antiviral3_2384,0.8812447,model_antiviral3_2384_complex.19
model_antiviral3_3720,0.88117325,model_antiviral3_3720_complex.12
model_antiviral3_2337,0.88110113,model_antiviral3_2337_complex.11
model_antiviral3_2901,0.8809578000000001,model_antiviral3_2901_complex.7
model_antiviral3_42,0.88084126,model_antiviral3_42_complex.19
model_antiviral3_4108,0.88066936,model_antiviral3_4108_complex.13
model_antiviral3_738,0.8806656999999999,model_antiviral3_738_complex.10
model_antiviral3_264,0.8806029000000001,model_antiviral3_264_complex.11
model_antiviral3_3886,0.88048327,model_antiviral3_3886_complex.8
model_antiviral3_3120,0.88022876,model_antiviral3_3120_complex.20
model_antiviral3_4499,0.8800165000000001,model_antiviral3_4499_complex.11
model_antiviral3_1720,0.87997866,model_antiviral3_1720_complex.15
model_antiviral3_3717,0.8799594000000001,model_antiviral3_3717_complex.14
model_antiviral3_2214,0.8799455,model_antiviral3_2214_complex.11
model_antiviral3_2993,0.87975645,model_antiviral3_2993_complex.3
model_antiviral3_4502,0.879677,model_antiviral3_4502_complex.20
model_antiviral3_603,0.87947387,model_antiviral3_603_complex.13
model_antiviral3_67,0.8794311,model_antiviral3_67_complex.17
model_antiviral3_4410,0.87862134,model_antiviral3_4410_complex.19
model_antiviral3_1077,0.87861085,model_antiviral3_1077_complex.4
model_antiviral3_4396,0.8784904,model_antiviral3_4396_complex.8
model_antiviral3_1470,0.8783834,model_antiviral3_1470_complex.20
model_antiviral3_216,0.8783483,model_antiviral3_216_complex.6
model_antiviral3_1680,0.8782908000000001,model_antiviral3_1680_complex.20
model_antiviral3_1093,0.8781986999999999,model_antiviral3_1093_complex.2
model_antiviral3_1307,0.8779591999999998,model_antiviral3_1307_complex.20
model_antiviral3_11,0.8779405999999998,model_antiviral3_11_complex.16
model_antiviral3_1163,0.87767786,model_antiviral3_1163_complex.7
