name,prediction
model_antiviral3_3491_complex.15,0.8889587
model_antiviral3_2045_complex.18,0.8888418
model_antiviral3_3618_complex.13,0.8888353
model_antiviral3_3805_complex.4,0.88878113
model_antiviral3_2962_complex.19,0.88871306
model_antiviral3_1365_complex.5,0.8885772
model_antiviral3_4300_complex.19,0.88852274
model_antiviral3_2258_complex.4,0.88852197
model_antiviral3_4476_complex.18,0.888428
model_antiviral3_2485_complex.9,0.8882577
model_antiviral3_4208_complex.16,0.8880535
model_antiviral3_4021_complex.4,0.88799566
model_antiviral3_4100_complex.2,0.88795877
model_antiviral3_3505_complex.12,0.8879388
model_antiviral3_4454_complex.15,0.8878533
model_antiviral3_95_complex.8,0.88784087
model_antiviral3_4369_complex.13,0.88781077
model_antiviral3_2747_complex.10,0.8877688
model_antiviral3_4132_complex.11,0.8876363
model_antiviral3_2873_complex.19,0.8875878
model_antiviral3_287_complex.6,0.88758373
model_antiviral3_3567_complex.15,0.887525
model_antiviral3_1847_complex.9,0.887469
model_antiviral3_1837_complex.7,0.88744986
model_antiviral3_1291_complex.12,0.8874496
model_antiviral3_2717_complex.16,0.8872314
model_antiviral3_4095_complex.7,0.88716084
model_antiviral3_4083_complex.9,0.8871569
model_antiviral3_3357_complex.9,0.8870648
model_antiviral3_4045_complex.11,0.8870599
model_antiviral3_2948_complex.19,0.88646674
model_antiviral3_1694_complex.19,0.88640255
model_antiviral3_3889_complex.4,0.88639265
model_antiviral3_794_complex.13,0.8863417
model_antiviral3_3561_complex.4,0.88626903
model_antiviral3_3395_complex.11,0.88618374
model_antiviral3_2903_complex.19,0.88605565
model_antiviral3_1960_complex.15,0.88580054
model_antiviral3_2364_complex.13,0.8857187
model_antiviral3_4138_complex.15,0.8853151
model_antiviral3_1436_complex.10,0.8852486
model_antiviral3_3958_complex.7,0.88517624
model_antiviral3_3938_complex.4,0.8849398
model_antiviral3_2985_complex.9,0.88488764
model_antiviral3_532_complex.15,0.8848176
model_antiviral3_2604_complex.9,0.8846554
model_antiviral3_4394_complex.19,0.8846217
model_antiviral3_1398_complex.14,0.8844285
model_antiviral3_941_complex.1,0.8843875
